dia,periodo,tipo_entrega,borda,refrigerante,valor_total,tempo
sábado,Inicio,Entrega,"Borda Sim","Refri Nao","vl 34-38","tp 33-44"
sábado,Inicio,Entrega,"Borda Nao","Refri Nao","vl 18-22","tp 33-44"
sábado,Inicio,buscar,"Borda Nao","Refri Nao","vl 34-38","tp 33-44"
sábado,Inicio,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 22-33"
sábado,Inicio,Buscar,"Borda Nao","Refri Nao","vl 10-14","tp 44-55"
sábado,Inicio,Entrega,"Borda Nao","Refri Sim","vl 38-42","tp 33-44"
sábado,Inicio,Entrega,"Borda Nao","Refri Nao","vl 38-42","tp 22-33"
sábado,Pico,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 44-55"
sábado,Pico,Buscar,"Borda Nao","Refri Sim","vl 22-26","tp 44-55"
sábado,Pico,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 22-33"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
sábado,Pico,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 44-55"
sábado,Pico,Entrega,"Borda Nao","Refri Sim","vl 34-38","tp 33-44"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 44-55"
sábado,Pico,Buscar,"Borda Sim","Refri Sim","vl 26-30","tp 44-55"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 44-55"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 22-33"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 38-42","tp 44-55"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 38-42","tp 44-55"
sábado,Pico,Buscar,"Borda Nao","Refri Nao","vl 18-22","tp 44-55"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 18-22","tp 33-44"
sábado,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
sábado,Final,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 22-33"
domingo,Inicio,Entrega,"Borda Nao","Refri Nao","vl 34-38","tp 44-55"
domingo,Inicio,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 22-33"
domingo,Inicio,Entrega,"Borda Nao","Refri Sim","vl 30-34","tp 33-44"
domingo,Inicio,Entrega,"Borda Sim","Refri Nao","vl 22-26","tp 44-55"
domingo,Inicio,Entrega,"Borda Sim","Refri Nao","vl 26-30","tp 44-55"
domingo,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
domingo,Pico,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 33-44"
domingo,Pico,Entrega,"Borda Nao","Refri Nao","vl 38-42","tp 44-55"
domingo,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
domingo,Pico,Entrega,"Borda Sim","Refri Nao","vl 30-34","tp 22-33"
domingo,Pico,Entrega,"Borda Nao","Refri Nao","vl 26-30","tp 44-55"
domingo,Pico,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 44-55"
domingo,Pico,Entrega,"Borda Nao","Refri Nao","vl 34-38","tp 33-44"
domingo,Pico,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
